Domain name,CNAME name,Type,CNAME value
n8n.geuse.io,_385d337a22c5745ebcc4fe83516c09f1.n8n.geuse.io.,CNAME,_00a48ac363cd527333a2046ceec8fe6b.xlfgrmvvlj.acm-validations.aws.
*.geuse.io,_c9b2c5190a1ba83406c81afbe74f1679.geuse.io.,CNAME,_e335daffceeb1a184dcc9ef06b33f145.bxmgrlxjqk.acm-validations.aws.
